,Age,Yes,No,Don't Know,Other
0,24,0.669705256760863,0.2725615314494075,0.04284412032816773,0.014889091461561836
0,25,0.6391478029294274,0.2960497114957834,0.0426098535286285,0.022192632046160676
0,26,0.6422603339597909,0.29215524024243483,0.04324950771486477,0.022334918082909525
0,27,0.6453728649901543,0.28826076898908626,0.043889161901101044,0.022477204119658374
0,28,0.6484853960205178,0.28436629773573774,0.04452881608733732,0.022619490156407226
0,29,0.6515979270508812,0.2804718264823892,0.04516847027357358,0.02276177619315608
0,30,0.6547104580812446,0.27657735522904064,0.045808124459809856,0.022904062229904928
0,31,0.6567780752028598,0.2736890686492519,0.046840674325129436,0.022692181822758895
0,32,0.658845692324475,0.27080078206946323,0.04787322419044902,0.02248030141561286
0,33,0.6609133094460902,0.2679124954896745,0.0489057740557686,0.022268421008466828
0,34,0.6629809265677054,0.26502420890988576,0.049938323921088185,0.02205654060132079
0,35,0.6650485436893204,0.2621359223300971,0.050970873786407765,0.021844660194174758
0,36,0.6729259671429364,0.25511936588340134,0.048769672239490726,0.023184994734171602
0,37,0.6808033905965523,0.2481028094367056,0.04656847069257369,0.024525329274168447
0,38,0.6886808140501682,0.24108625299000985,0.04436726914565665,0.02586566381416529
0,39,0.6965582375037842,0.2340696965433141,0.042166067598739615,0.027205998354162136
0,40,0.7044356609574001,0.22705314009661837,0.039964866051822576,0.02854633289415898
0,41,0.7096506261145548,0.22074025643819695,0.04123188492693491,0.028377232520313333
0,42,0.7148655912717095,0.21442737277977553,0.04249890380204724,0.028208132146467686
0,43,0.7200805564288643,0.2081144891213541,0.04376592267715958,0.028039031772622038
0,44,0.7252955215860191,0.2018016054629327,0.045032941552271916,0.027869931398776394
0,45,0.7305104867431738,0.19548872180451127,0.04629996042738425,0.027700831024930747
0,46,0.7302096813047205,0.19508676335563607,0.04731373026131681,0.027389825078326633
0,47,0.7299088758662673,0.19468480490676088,0.04832750009524937,0.02707881913172252
0,48,0.729608070427814,0.1942828464578857,0.04934126992918193,0.026767813185118405
0,49,0.7293072649893606,0.19388088800901054,0.05035503976311449,0.02645680723851429
0,50,0.7290064595509074,0.19347892956013535,0.05136880959704706,0.02614580129191018
0,51,0.7261668793524376,0.19661872923369386,0.05021666929925927,0.026997722114609227
0,52,0.7233272991539679,0.19975852890725238,0.04906452900147148,0.027849642937308274
0,53,0.7204877189554981,0.2028983285808109,0.04791238870368369,0.028701563760007317
0,54,0.7176481387570284,0.2060381282543694,0.0467602484058959,0.02955348458270636
0,55,0.7148085585585585,0.20917792792792791,0.04560810810810811,0.030405405405405407
0,56,0.7119556358534314,0.21102971709184132,0.047422644516832896,0.029592002537894322
0,57,0.7091027131483043,0.21288150625575475,0.04923718092555768,0.028778599670383237
0,58,0.7062497904431772,0.21473329541966815,0.051051717334282466,0.027965196802872152
0,59,0.70339686773805,0.21658508458358156,0.052866253743007255,0.027151793935361067
0,60,0.7005439450329229,0.218436873747495,0.05468079015173204,0.026338391067849985
0,61,0.6962314925677852,0.22138097990454675,0.055542210513189416,0.026845317014478683
0,62,0.6919190401026474,0.2243250860615985,0.056403630874646796,0.02735224296110738
0,63,0.6876065876375095,0.22726919221865027,0.057265051236104175,0.02785916890773608
0,64,0.6832941351723716,0.23021329837570204,0.058126471597561555,0.02836609485436478
0,65,0.6789816827072338,0.2331574045327538,0.05898789195901894,0.02887302080099348
0,66,0.6835988038066464,0.22941202009965259,0.05845906103377373,0.028530115059927332
0,67,0.688215924906059,0.22566663566655137,0.05793023010852851,0.028187209318861185
0,68,0.6928330460054716,0.22192125123345013,0.0574013991832833,0.02784430357779504
0,69,0.6974501671048842,0.2181758668003489,0.05687256825803808,0.02750139783672889
0,70,0.7020672882042968,0.21443048236724768,0.05634373733279287,0.027158492095662748
0,71,0.7056798045894115,0.20855737290678517,0.05897109376233819,0.026791728741465265
0,72,0.7092923209745261,0.20268426344632265,0.06159845019188351,0.026424965387267782
0,73,0.7129048373596408,0.19681115398586013,0.06422580662142884,0.026058202033070296
0,74,0.7165173537447556,0.1909380445253976,0.06685316305097416,0.02569143867887281
0,75,0.7201298701298702,0.18506493506493507,0.06948051948051948,0.025324675324675326
0,76,0.7203330452193132,0.18360375934091183,0.06889528331819822,0.027167912121576824
0,77,0.7205362203087562,0.1821425836168886,0.06831004715587696,0.02901114891847832
0,78,0.7207393953981992,0.18068140789286535,0.06772481099355572,0.03085438571537982
0,79,0.7209425704876422,0.17922023216884211,0.06713957483123448,0.03269762251228132
0,80,0.7211457455770851,0.17775905644481887,0.06655433866891322,0.03454085930918281
0,81,0.7149669109270769,0.1830877483005092,0.06833781055777209,0.03360753021464185
0,82,0.7087880762770686,0.18841644015619952,0.07012128244663096,0.03267420112010089
0,83,0.7026092416270604,0.19374513201188984,0.07190475433548982,0.03174087202555992
0,84,0.6964304069770522,0.19907382386758016,0.07368822622434867,0.030807542931018953
0,85,0.690251572327044,0.20440251572327045,0.07547169811320754,0.029874213836477988
0,86,0.6906070549630845,0.20555099808586275,0.07559474979491386,0.028247197156138912
0,87,0.690962537599125,0.20669948044845504,0.07571780147662018,0.026620180475799837
0,88,0.6913180202351654,0.2078479628110473,0.07584085315832649,0.024993163795460762
0,89,0.6916735028712059,0.20899644517363958,0.07596390484003282,0.023366147115121687
0,90,0.6920289855072463,0.21014492753623187,0.07608695652173914,0.021739130434782608
