,Age,Yes,No,Don't Know,Other
0,24,0.5551504102096627,0.39045882710422364,0.0425402613187481,0.011850501367365542
0,25,0.5233022636484687,0.4105636928539725,0.04438526409232135,0.02174877940523746
0,26,0.5271119924226643,0.4061519050178366,0.04527484913038258,0.021461253429116502
0,27,0.5309217211968599,0.4017401171817007,0.046164434168443805,0.021173727452995544
0,28,0.5347314499710555,0.39732832934556483,0.04705401920650503,0.020886201476874585
0,29,0.5385411787452512,0.3929165415094289,0.04794360424456626,0.02059867550075363
0,30,0.5423509075194468,0.388504753673293,0.04883318928262748,0.02031114952463267
0,31,0.5399001434912856,0.39012419128814896,0.04955198831930587,0.020423676901259534
0,32,0.5374493794631243,0.3917436289030049,0.05027078735598426,0.020536204277886397
0,33,0.5349986154349632,0.39336306651786085,0.05098958639266265,0.02064873165451326
0,34,0.532547851406802,0.39498250413271685,0.05170838542934103,0.020761259031140122
0,35,0.5300970873786408,0.3966019417475728,0.05242718446601942,0.02087378640776699
0,36,0.5380873317386614,0.3881642938460161,0.0521305925442692,0.02161778187105329
0,37,0.546077576098682,0.3797266459444594,0.051834000622518986,0.022361777334339597
0,38,0.5540678204587026,0.37128899804290266,0.05153740870076877,0.0231057727976259
0,39,0.5620580648187232,0.36285135014134595,0.05124081677901855,0.023849768260912202
0,40,0.5700483091787439,0.3544137022397892,0.050944224857268336,0.024593763724198508
0,41,0.5743607684351993,0.34977552055716576,0.052073147990286374,0.023790563017348516
0,42,0.5786732276916547,0.34513733887454234,0.05320207112330441,0.022987362310498527
0,43,0.5829856869481101,0.34049915719191887,0.05433099425632245,0.022184161603648535
0,44,0.5872981462045656,0.3358609755092954,0.05545991738934049,0.021380960896798543
0,45,0.591610605461021,0.33122279382667197,0.056588840522358526,0.020577760189948554
0,46,0.5912829476108962,0.3304350175897904,0.057144342181036624,0.021137692618276898
0,47,0.5909552897607713,0.3296472413529088,0.057699843839714715,0.021697625046605246
0,48,0.5906276319106465,0.32885946511602715,0.05825534549839281,0.02225755747493359
0,49,0.5902999740605217,0.3280716888791455,0.05881084715707091,0.022817489903261934
0,50,0.5899723162103968,0.3272839126422639,0.059366348815749,0.02337742233159028
0,51,0.5844215466620112,0.3319847877714688,0.05988046643998659,0.023713199126533486
0,52,0.5788707771136254,0.33668566290067364,0.060394584064224176,0.02404897592147669
0,53,0.5733200075652398,0.3413865380298785,0.06090870168846176,0.024384752716419895
0,54,0.5677692380168542,0.3460874131590834,0.06142281931269935,0.024720529511363103
0,55,0.5622184684684685,0.3507882882882883,0.061936936936936936,0.025056306306306307
0,56,0.5570178323184335,0.35432086824872394,0.06329131880234085,0.025369980630501672
0,57,0.5518171961683985,0.35785344820915965,0.06464570066774475,0.025683654954697037
0,58,0.5466165600183636,0.3613860281695953,0.06600008253314867,0.025997329278892405
0,59,0.5414159238683287,0.36491860813003096,0.06735446439855258,0.026311003603087774
0,60,0.5362152877182937,0.3684511880904667,0.06870884626395649,0.02662467792728314
0,61,0.5336602152724307,0.3723145052690203,0.06794441324214935,0.026080866216399625
0,62,0.5311051428265676,0.37617782244757403,0.06717998022034222,0.02553705450551611
0,63,0.5285500703807046,0.3800411396261277,0.06641554719853508,0.024993242794632598
0,64,0.5259949979348415,0.3839044568046813,0.06565111417672795,0.024449431083749085
0,65,0.5234399254889786,0.38776777398323503,0.06488668115492083,0.02390561937286557
0,66,0.5238188232448513,0.3846365945412698,0.06747480905040606,0.02406977316347284
0,67,0.524197721000724,0.3815054150993046,0.0700629369458913,0.024233926954080106
0,68,0.5245766187565968,0.3783742356573394,0.07265106484137653,0.024398080744687373
0,69,0.5249555165124695,0.37524305621537424,0.07523919273686175,0.024562234535294637
0,70,0.5253344142683422,0.372111876773409,0.07782732063234699,0.024726388325901905
0,71,0.5293584405055828,0.3640531377823636,0.08083328507730617,0.0257551366347475
0,72,0.5333824667428234,0.35599439879131817,0.08383924952226535,0.026783884943593093
0,73,0.537406492980064,0.34793565980027275,0.08684521396722451,0.027812633252438684
0,74,0.5414305192173048,0.33987692080922727,0.08985117841218368,0.028841381561284275
0,75,0.5454545454545454,0.33181818181818185,0.09285714285714286,0.02987012987012987
0,76,0.5396492302979244,0.3367266600291032,0.09484173787459382,0.028782371798378538
0,77,0.5338439151413035,0.3416351382400245,0.09682633289204479,0.027694613726627206
0,78,0.5280385999846825,0.34654361645094583,0.09881092790949574,0.026606855654875874
0,79,0.5222332848280615,0.3514520946618672,0.10079552292694668,0.025519097583124543
0,80,0.5164279696714406,0.35636057287278855,0.10278011794439765,0.02443133951137321
0,81,0.5121989795107373,0.3555287098705579,0.10769579246872567,0.024576518149979073
0,82,0.5079699893500341,0.35469684686832725,0.11261146699305369,0.024721696788584935
0,83,0.5037409991893309,0.35386498386609655,0.11752714151738171,0.024866875427190797
0,84,0.4995120090286277,0.35303312086386585,0.12244281604170973,0.02501205406579666
0,85,0.49528301886792453,0.3522012578616352,0.12735849056603774,0.025157232704402517
0,86,0.49042931364506426,0.360746513535685,0.1236259228876128,0.025198249931637957
0,87,0.485575608422204,0.3692917692097347,0.11989335520918787,0.025239267158873396
0,88,0.4807219031993437,0.3778370248837845,0.11616078753076292,0.025280284386108836
0,89,0.47586819797648344,0.3863822805578343,0.11242821985233797,0.025321301613344276
0,90,0.47101449275362317,0.39492753623188404,0.10869565217391304,0.025362318840579712
